일자,시간,시가,고가,저가,종가,5,20,60,120,BB_상한선,BB_중심선,BB_하한선,거래량,OBV+Slow%K,OBV+Slow%D,RSI,Signal,RSI+MACD,Signal
2018-07-10,14:12,"2,299.18","2,299.57","2,297.94","2,299.13","2,298.45","2,297.28","2,296.35","2,296.25","2,298.69","2,296.39","2,294.08","1,974,000",97.49%,92.59%,59.81%,60.80%,2.46%,2.49%
2018-07-10,14:09,"2,297.94","2,299.42","2,297.94","2,299.05","2,298.41","2,297.11","2,296.32","2,296.12","2,298.61","2,296.36","2,294.12","2,476,000",94.98%,87.68%,62.27%,61.20%,2.67%,2.50%
2018-07-10,14:06,"2,298.63","2,299.42","2,297.72","2,298.40","2,298.09","2,296.95","2,296.29","2,296.00","2,298.52","2,296.34","2,294.16","2,613,000",89.96%,80.39%,60.72%,60.77%,2.65%,2.46%
2018-07-10,14:03,"2,298.17","2,299.11","2,297.23","2,298.35","2,297.86","2,296.82","2,296.28","2,295.89","2,298.43","2,296.31","2,294.18","3,252,000",79.91%,70.82%,62.08%,60.79%,2.74%,2.41%
2018-07-10,14:00,"2,298.08","2,299.02","2,297.11","2,297.32","2,297.72","2,296.72","2,296.21","2,295.77","2,298.35","2,296.25","2,294.16","2,354,000",59.82%,61.72%,55.51%,60.27%,2.68%,2.33%
2018-07-10,13:57,"2,297.21","2,298.92","2,297.21","2,298.92","2,297.59","2,296.67","2,296.19","2,295.66","2,298.29","2,296.21","2,294.14","2,045,000",80.34%,63.62%,69.34%,62.18%,3.23%,2.24%
2018-07-10,13:54,"2,297.94","2,298.59","2,296.94","2,297.44","2,297.14","2,296.50","2,296.13","2,295.54","2,298.19","2,296.16","2,294.12","1,834,000",60.67%,46.91%,61.28%,59.31%,2.47%,1.99%
2018-07-10,13:51,"2,297.87","2,298.35","2,296.73","2,297.29","2,297.16","2,296.39","2,296.09","2,295.43","2,298.13","2,296.12","2,294.10","1,531,000",21.34%,33.15%,60.37%,58.52%,2.30%,1.87%
2018-07-10,13:48,"2,296.66","2,299.11","2,296.37","2,297.64","2,297.09","2,296.36","2,296.05","2,295.33","2,298.09","2,296.07","2,294.05","1,708,000",38.01%,44.95%,63.85%,57.79%,2.13%,1.77%
2018-07-10,13:45,"2,296.14","2,297.62","2,296.14","2,296.66","2,296.81","2,296.31","2,295.99","2,295.23","2,298.02","2,296.02","2,294.01","1,748,000",30.90%,51.90%,52.86%,55.36%,1.53%,1.68%
2018-07-10,13:42,"2,297.67","2,298.05","2,296.62","2,296.69","2,296.93","2,296.29","2,295.98","2,295.13","2,298.03","2,296.02","2,294.01","2,038,000",61.80%,72.90%,51.87%,56.36%,1.86%,1.72%
2018-07-10,13:39,"2,297.43","2,297.99","2,296.29","2,297.52","2,296.90","2,296.22","2,296.01","2,295.04","2,298.11","2,296.04","2,293.97","1,636,000",91.37%,84.01%,65.39%,58.16%,2.36%,1.68%
2018-07-10,13:36,"2,297.93","2,298.14","2,296.05","2,296.94","2,296.66","2,296.13","2,296.02","2,294.93","2,298.19","2,296.06","2,293.94","1,371,000",82.75%,76.64%,64.18%,55.27%,1.58%,1.51%
2018-07-10,13:33,"2,297.05","2,298.10","2,296.19","2,296.24","2,296.46","2,296.03","2,296.06","2,294.82","2,298.47","2,296.12","2,293.77","1,546,000",72.40%,70.53%,46.14%,51.70%,0.69%,1.49%
2018-07-10,13:30,"2,296.59","2,297.60","2,296.17","2,297.26","2,296.46","2,296.02","2,296.15","2,294.71","2,298.82","2,296.19","2,293.57","1,314,000",85.67%,68.66%,55.54%,53.92%,1.39%,1.69%
2018-07-10,13:27,"2,297.50","2,297.50","2,295.17","2,296.56","2,296.14","2,295.98","2,296.21","2,294.63","2,299.12","2,296.26","2,293.40","1,222,000",71.35%,51.64%,52.47%,53.28%,1.29%,1.77%
2018-07-10,13:24,"2,297.02","2,297.02","2,295.45","2,296.31","2,295.99","2,295.97","2,296.29","2,294.55","2,299.36","2,296.33","2,293.31","1,246,000",42.69%,31.94%,57.50%,53.60%,1.46%,1.88%
2018-07-10,13:21,"2,295.81","2,297.11","2,295.47","2,295.91","2,295.90","2,295.96","2,296.35","2,294.49","2,299.54","2,296.40","2,293.25","1,727,000",15.07%,21.19%,51.17%,52.04%,1.15%,1.99%
2018-07-10,13:18,"2,296.22","2,296.97","2,295.67","2,296.28","2,295.87","2,295.96","2,296.43","2,294.43","2,299.78","2,296.47","2,293.17","1,399,000",30.14%,27.31%,59.07%,52.39%,1.38%,2.20%
2018-07-10,13:15,"2,295.02","2,296.51","2,294.82","2,295.64","2,295.87","2,295.87","2,296.51","2,294.38","2,300.05","2,296.56","2,293.07","1,444,000",12.78%,24.48%,47.29%,49.73%,0.85%,2.40%
2018-07-10,13:12,"2,295.86","2,297.40","2,295.82","2,295.82","2,296.03","2,295.78","2,296.62","2,294.33","2,300.40","2,296.67","2,292.94","1,502,000",25.56%,36.18%,46.04%,50.70%,1.35%,2.79%
2018-07-10,13:09,"2,295.70","2,296.22","2,294.92","2,295.83","2,295.97","2,295.68","2,296.74","2,294.28","2,300.73","2,296.77","2,292.81","1,785,000",42.48%,46.80%,47.61%,52.57%,2.11%,3.15%
2018-07-10,13:06,"2,296.46","2,296.71","2,294.91","2,295.77","2,295.84","2,295.62","2,296.85","2,294.23","2,301.12","2,296.90","2,292.67","1,760,000",30.40%,51.12%,47.23%,54.55%,2.88%,3.42%
2018-07-10,13:03,"2,295.29","2,296.81","2,295.28","2,296.30","2,296.04","2,295.52","2,296.99","2,294.17","2,301.54","2,297.03","2,292.53","1,512,000",60.81%,71.84%,52.53%,57.48%,3.86%,3.55%
2018-07-10,13:00,"2,296.49","2,296.76","2,294.72","2,296.45","2,296.09","2,295.41","2,297.08","2,294.12","2,301.73","2,297.12","2,292.51","1,094,000",89.30%,82.88%,61.08%,59.46%,4.52%,3.47%
2018-07-10,12:57,"2,295.35","2,296.84","2,294.99","2,295.51","2,296.05","2,295.37","2,297.16","2,294.07","2,301.91","2,297.21","2,292.50","1,140,000",78.59%,76.46%,59.51%,58.81%,4.43%,3.21%
2018-07-10,12:54,"2,296.15","2,297.90","2,295.15","2,295.15","2,296.01","2,295.39","2,297.24","2,294.01","2,302.03","2,297.29","2,292.54","1,521,000",72.66%,74.32%,56.67%,58.53%,4.40%,2.90%
2018-07-10,12:51,"2,296.09","2,297.12","2,295.85","2,296.80","2,296.13","2,295.40","2,297.33","2,293.95","2,302.14","2,297.36","2,292.57","1,231,000",89.39%,75.98%,64.28%,59.27%,4.59%,2.53%
2018-07-10,12:48,"2,296.08","2,297.14","2,295.59","2,296.54","2,295.76","2,295.35","2,297.39","2,293.88","2,302.26","2,297.42","2,292.58","1,231,000",78.78%,62.57%,67.15%,57.27%,4.00%,2.01%
2018-07-10,12:45,"2,295.30","2,297.52","2,295.00","2,296.26","2,295.66","2,295.31","2,297.47","2,293.81","2,302.44","2,297.51","2,292.58","989,000",57.57%,46.35%,62.30%,53.31%,2.88%,1.52%
2018-07-10,12:42,"2,296.30","2,296.55","2,294.91","2,295.29","2,295.70","2,295.22","2,297.59","2,293.76","2,302.72","2,297.62","2,292.53","876,000",20.31%,35.13%,47.91%,49.72%,1.92%,1.17%
2018-07-10,12:39,"2,296.34","2,296.34","2,295.17","2,295.75","2,295.89","2,295.14","2,297.70","2,293.71","2,302.88","2,297.73","2,292.57","841,000",40.62%,49.96%,49.71%,50.45%,2.12%,0.99%
2018-07-10,12:36,"2,295.36","2,296.84","2,294.60","2,294.96","2,295.98","2,295.13","2,297.80","2,293.68","2,303.04","2,297.83","2,292.61","1,008,000",37.71%,59.30%,46.67%,50.74%,2.16%,0.70%
2018-07-10,12:33,"2,295.92","2,297.23","2,295.78","2,296.06","2,296.17","2,295.25","2,297.91","2,293.65","2,303.17","2,297.92","2,292.68","924,000",75.42%,80.89%,52.81%,52.37%,2.50%,0.34%
2018-07-10,12:30,"2,296.23","2,297.30","2,295.12","2,296.45","2,295.84","2,295.33","2,297.98","2,293.59","2,303.23","2,297.98","2,292.73","1,012,000",95.70%,86.35%,55.24%,52.19%,2.26%,-0.20%
2018-07-10,12:27,"2,295.80","2,296.98","2,295.12","2,296.22","2,295.31","2,295.35","2,298.05","2,293.53","2,303.31","2,298.05","2,292.79","1,142,000",91.39%,77.01%,61.05%,50.97%,1.68%,-0.81%
2018-07-10,12:24,"2,295.63","2,296.61","2,294.36","2,296.22","2,294.87","2,295.42","2,298.10","2,293.49","2,303.36","2,298.11","2,292.85","1,048,000",82.78%,62.64%,63.81%,46.94%,0.32%,-1.44%
2018-07-10,12:21,"2,294.92","2,295.91","2,294.67","2,295.90","2,294.54","2,295.52","2,298.18","2,293.44","2,303.51","2,298.21","2,292.91","943,000",65.56%,42.49%,52.59%,40.19%,-1.69%,-1.88%
2018-07-10,12:18,"2,294.44","2,295.24","2,293.33","2,294.40","2,294.10","2,295.57","2,298.30","2,293.39","2,303.66","2,298.32","2,292.99","1,041,000",31.13%,19.42%,35.66%,35.24%,-3.10%,-1.92%
2018-07-10,12:15,"2,293.62","2,294.94","2,292.99","2,293.82","2,294.05","2,295.78","2,298.41","2,293.37","2,303.75","2,298.44","2,293.14","968,000",3.97%,7.70%,30.60%,35.07%,-3.13%,-1.63%
2018-07-10,12:12,"2,294.19","2,295.55","2,293.52","2,293.99","2,294.42","2,295.99","2,298.51","2,293.35","2,303.75","2,298.54","2,293.34","818,000",7.94%,11.43%,36.54%,36.85%,-2.61%,-1.25%
2018-07-10,12:09,"2,294.42","2,296.14","2,293.83","2,294.61","2,294.78","2,296.18","2,298.62","2,293.35","2,303.80","2,298.66","2,293.51","831,000",15.37%,14.92%,36.44%,36.98%,-2.50%,-0.91%
2018-07-10,12:06,"2,292.65","2,294.50","2,292.65","2,293.68","2,294.96","2,296.30","2,298.71","2,293.33","2,303.83","2,298.75","2,293.67","1,212,000",6.81%,14.48%,28.68%,37.19%,-2.33%,-0.51%
2018-07-10,12:03,"2,294.96","2,295.21","2,293.34","2,294.16","2,295.36","2,296.50","2,298.81","2,293.31","2,303.78","2,298.84","2,293.90","1,281,000",13.63%,22.14%,37.29%,40.60%,-1.28%,-0.06%
2018-07-10,12:00,"2,295.66","2,296.29","2,294.69","2,295.67","2,295.67","2,296.51","2,298.88","2,293.29","2,303.75","2,298.93","2,294.11","981,000",27.26%,30.65%,37.12%,41.92%,-0.80%,0.25%
2018-07-10,11:57,"2,295.80","2,296.25","2,294.67","2,295.80","2,295.43","2,296.53","2,298.72","2,293.22","2,304.30","2,298.78","2,293.26","1,393,000",38.44%,34.05%,40.34%,43.84%,-0.15%,0.51%
2018-07-10,11:54,"2,296.03","2,296.88","2,294.71","2,295.51","2,295.03","2,296.49","2,298.60","2,293.15","2,304.63","2,298.66","2,292.69","1,230,000",22.53%,29.66%,40.45%,45.24%,0.35%,0.67%
2018-07-10,11:51,"2,295.97","2,296.17","2,294.64","2,295.65","2,295.01","2,296.48","2,298.48","2,293.08","2,304.92","2,298.54","2,292.17","1,333,000",45.06%,36.80%,44.72%,47.15%,0.96%,0.75%
2018-07-10,11:48,"2,294.10","2,296.22","2,293.53","2,295.72","2,295.35","2,296.44","2,298.36","2,293.00","2,305.20","2,298.42","2,291.64","1,204,000",43.23%,28.53%,42.19%,48.13%,1.30%,0.70%
2018-07-10,11:45,"2,293.97","2,294.88","2,293.33","2,294.45","2,295.76","2,296.36","2,298.22","2,292.93","2,305.51","2,298.28","2,291.06","1,306,000",15.52%,13.83%,50.10%,50.50%,1.98%,0.55%
2018-07-10,11:42,"2,295.27","2,295.27","2,293.04","2,293.84","2,296.25","2,296.43","2,298.10","2,292.87","2,305.79","2,298.16","2,290.54","1,932,000",4.49%,12.14%,43.10%,50.66%,2.00%,0.20%
2018-07-10,11:39,"2,296.79","2,297.17","2,295.32","2,295.39","2,296.99","2,296.66","2,297.99","2,292.83","2,306.06","2,298.04","2,290.03","1,606,000",8.97%,19.79%,51.27%,53.69%,2.71%,-0.26%
2018-07-10,11:36,"2,297.34","2,297.98","2,296.35","2,297.36","2,297.55","2,296.79","2,297.82","2,292.76","2,306.40","2,297.86","2,289.33","1,381,000",17.94%,30.61%,57.50%,54.65%,2.75%,-1.00%
2018-07-10,11:33,"2,297.64","2,298.20","2,296.73","2,297.75","2,297.48","2,296.91","2,297.63","2,292.67","2,306.65","2,297.67","2,288.70","1,470,000",33.75%,43.28%,60.20%,53.51%,2.13%,-1.94%
2018-07-10,11:30,"2,297.62","2,298.49","2,296.79","2,296.90","2,297.64","2,297.09","2,297.41","2,292.57","2,306.88","2,297.47","2,288.07","2,140,000",32.07%,52.82%,60.14%,50.83%,1.03%,-2.95%
2018-07-10,11:27,"2,298.01","2,298.93","2,296.39","2,297.55","2,297.87","2,297.30","2,297.25","2,292.47","2,307.01","2,297.30","2,287.59","2,010,000",64.14%,73.57%,55.42%,47.11%,-0.39%,-3.95%
2018-07-10,11:24,"2,298.08","2,298.95","2,297.10","2,298.17","2,297.91","2,297.48","2,297.07","2,292.36","2,307.13","2,297.12","2,287.10","2,356,000",86.53%,83.00%,49.35%,43.79%,-1.71%,-4.84%
2018-07-10,11:21,"2,298.74","2,299.01","2,297.01","2,297.01","2,297.66","2,297.58","2,296.88","2,292.25","2,307.26","2,296.91","2,286.56","2,611,000",77.58%,79.47%,46.85%,41.56%,-2.75%,-5.62%
2018-07-10,11:18,"2,298.79","2,298.98","2,297.41","2,298.57","2,297.81","2,297.77","2,296.66","2,292.16","2,307.47","2,296.67","2,285.88","3,888,000",91.32%,81.37%,46.37%,39.44%,-3.78%,-6.34%
2018-07-10,11:15,"2,297.53","2,299.18","2,297.53","2,298.05","2,296.98","2,297.89","2,296.38","2,292.06","2,307.67","2,296.41","2,285.16","1,755,000",82.64%,71.41%,40.84%,36.67%,-5.00%,-6.98%
2018-07-10,11:12,"2,297.13","2,298.01","2,296.54","2,297.74","2,296.59","2,298.10","2,296.14","2,291.96","2,307.79","2,296.17","2,284.56","1,577,000",65.28%,60.19%,39.94%,35.01%,-5.92%,-7.47%
2018-07-10,11:09,"2,296.60","2,298.69","2,296.60","2,296.95","2,296.04","2,298.36","2,295.91","2,291.86","2,307.91","2,295.94","2,283.97","1,862,000",44.19%,55.10%,37.25%,33.03%,-6.91%,-7.86%
2018-07-10,11:06,"2,294.42","2,297.92","2,294.17","2,297.76","2,295.70","2,298.63","2,295.71","2,291.75","2,307.98","2,295.73","2,283.47","2,090,000",74.67%,66.00%,42.81%,31.34%,-7.80%,-8.10%
2018-07-10,11:03,"2,296.14","2,296.14","2,294.33","2,294.42","2,295.13","2,298.96","2,295.50","2,291.64","2,308.03","2,295.53","2,283.04","1,710,000",49.34%,57.33%,26.80%,26.75%,-9.39%,-8.17%
2018-07-10,11:00,"2,294.54","2,296.07","2,293.92","2,296.07","2,295.06","2,299.32","2,295.32","2,291.57","2,308.12","2,295.35","2,282.59","1,778,000",79.35%,65.31%,30.07%,26.73%,-9.66%,-7.87%
2018-07-10,10:57,"2,295.46","2,295.46","2,294.21","2,294.99","2,295.03","2,299.57","2,295.13","2,291.49","2,308.16","2,295.18","2,282.20","1,536,000",58.70%,51.27%,21.12%,25.40%,-10.19%,-7.42%
2018-07-10,10:54,"2,294.63","2,296.36","2,294.37","2,295.26","2,295.71","2,299.85","2,294.96","2,291.41","2,308.20","2,295.02","2,281.84","1,878,000",55.80%,43.83%,20.43%,27.11%,-9.81%,-6.73%
2018-07-10,10:51,"2,294.17","2,295.43","2,293.49","2,294.90","2,296.26","2,300.11","2,294.78","2,291.32","2,308.24","2,294.85","2,281.46","2,121,000",31.03%,31.87%,21.47%,29.78%,-9.11%,-5.96%
2018-07-10,10:48,"2,295.05","2,296.19","2,293.93","2,294.07","2,297.23","2,300.38","2,294.61","2,291.24","2,308.26","2,294.69","2,281.12","2,646,000",19.32%,32.71%,13.86%,33.11%,-8.19%,-5.17%
2018-07-10,10:45,"2,298.84","2,298.84","2,295.91","2,295.91","2,298.66","2,300.74","2,294.46","2,291.18","2,308.28","2,294.53","2,280.78","2,317,000",38.64%,46.10%,31.43%,40.81%,-6.12%,-4.42%
2018-07-10,10:42,"2,298.64","2,299.20","2,297.78","2,298.39","2,299.71","2,301.12","2,294.29","2,291.11","2,308.24","2,294.34","2,280.44","3,183,000",56.36%,53.56%,39.19%,44.56%,-5.18%,-3.99%
2018-07-10,10:39,"2,299.36","2,299.49","2,298.03","2,298.03","2,300.26","2,301.30","2,294.07","2,291.01","2,308.14","2,294.12","2,280.09","2,057,000",35.85%,50.76%,40.55%,46.70%,-4.70%,-3.70%
2018-07-10,10:36,"2,301.09","2,302.00","2,299.73","2,299.76","2,300.68","2,301.48","2,293.85","2,290.90","2,308.05","2,293.88","2,279.71","2,084,000",71.71%,65.66%,47.62%,49.17%,-4.15%,-3.45%
2018-07-10,10:33,"2,300.75","2,301.82","2,300.75","2,301.22","2,300.90","2,301.58","2,293.57","2,290.80","2,307.89","2,293.58","2,279.27","1,865,000",79.73%,59.62%,54.42%,49.79%,-4.11%,-3.27%
2018-07-10,10:30,"2,300.93","2,302.40","2,299.85","2,301.17","2,300.85","2,301.54","2,293.27","2,290.66","2,307.65","2,293.30","2,278.94","2,093,000",59.45%,39.51%,49.43%,47.93%,-4.69%,-3.06%
2018-07-10,10:27,"2,300.20","2,301.32","2,299.23","2,301.11","2,301.06","2,301.49","2,293.05","2,290.54","2,307.37","2,293.07","2,278.77","1,781,000",18.90%,19.58%,41.38%,47.33%,-4.86%,-2.65%
2018-07-10,10:24,"2,300.38","2,300.74","2,299.26","2,300.13","2,301.42","2,301.40","2,292.81","2,290.40","2,307.10","2,292.85","2,278.59","1,745,000",7.35%,20.26%,43.02%,49.71%,-4.18%,-2.10%
2018-07-10,10:21,"2,301.59","2,301.97","2,299.77","2,300.86","2,301.87","2,301.44","2,292.62","2,290.26","2,306.84","2,292.66","2,278.48","2,064,000",14.69%,33.17%,47.26%,52.39%,-3.42%,-1.58%
2018-07-10,10:18,"2,302.15","2,302.15","2,300.75","2,301.00","2,302.58","2,301.55","2,292.42","2,290.11","2,306.54","2,292.47","2,278.40","2,039,000",29.39%,51.64%,46.82%,54.44%,-2.84%,-1.12%
2018-07-10,10:15,"2,302.25","2,303.32","2,301.71","2,302.21","2,302.69","2,301.55","2,292.24","2,289.95","2,306.21","2,292.28","2,278.36","2,092,000",58.78%,73.89%,56.75%,57.49%,-2.00%,-0.69%
2018-07-10,10:12,"2,302.33","2,302.90","2,301.54","2,302.90","2,302.50","2,301.45","2,292.04","2,289.75","2,305.81","2,292.08","2,278.35","2,266,000",91.38%,89.01%,59.97%,57.78%,-1.92%,-0.36%
2018-07-10,10:09,"2,304.65","2,304.98","2,302.37","2,302.37","2,302.03","2,301.31","2,291.82","2,289.54","2,305.39","2,291.87","2,278.35","2,532,000",86.81%,86.64%,60.83%,56.90%,-2.11%,0.03%
2018-07-10,10:06,"2,301.16","2,305.84","2,301.16","2,304.40","2,301.62","2,301.22","2,291.61","2,289.34","2,304.90","2,291.63","2,278.36","3,194,000",94.90%,86.47%,62.86%,55.33%,-2.41%,0.56%
2018-07-10,10:03,"2,301.29","2,301.84","2,300.76","2,301.58","2,300.80","2,300.96","2,291.35","2,289.10","2,304.36","2,291.38","2,278.41","3,366,000",89.79%,78.04%,43.94%,52.32%,-2.97%,1.30%
2018-07-10,10:00,"2,301.41","2,301.95","2,300.87","2,301.23","2,300.74","2,300.81","2,291.15","2,288.89","2,303.95","2,291.19","2,278.43","5,338,000",79.59%,66.29%,51.15%,55.67%,-1.71%,2.37%
2018-07-10,9:57,"2,301.06","2,301.06","2,299.57","2,300.57","2,301.19","2,300.04","2,290.97","2,288.65","2,303.54","2,291.00","2,278.46","2,885,000",59.18%,52.99%,51.28%,57.48%,-0.82%,3.39%
2018-07-10,9:54,"2,300.81","2,300.82","2,299.61","2,300.33","2,301.49","2,299.44","2,290.77","2,288.42","2,303.16","2,290.80","2,278.45","3,986,000",39.44%,46.80%,50.41%,59.96%,0.33%,4.44%
2018-07-10,9:51,"2,301.39","2,301.39","2,299.89","2,300.29","2,301.75","2,298.85","2,290.57","2,288.19","2,302.77","2,290.60","2,278.43","4,748,000",33.10%,54.15%,49.56%,63.78%,1.87%,5.47%
2018-07-10,9:48,"2,303.47","2,303.47","2,300.43","2,301.30","2,302.06","2,298.26","2,290.36","2,287.95","2,302.35","2,290.40","2,278.45","3,959,000",66.21%,75.19%,56.89%,69.47%,3.89%,6.37%
2018-07-10,9:45,"2,302.41","2,304.01","2,302.07","2,303.45","2,301.86","2,297.57","2,290.16","2,287.72","2,301.85","2,290.19","2,278.53","2,939,000",92.25%,84.18%,67.79%,74.50%,5.68%,6.99%
2018-07-10,9:42,"2,301.49","2,302.08","2,300.82","2,302.08","2,301.21","2,296.74","2,289.94","2,287.45","2,301.23","2,289.97","2,278.72","3,678,000",84.50%,76.10%,82.74%,77.19%,6.76%,7.32%
2018-07-10,9:39,"2,302.09","2,302.35","2,301.37","2,301.61","2,300.66","2,296.02","2,289.73","2,287.19","2,300.69","2,289.78","2,278.86","4,040,000",72.92%,67.70%,74.20%,74.97%,6.53%,7.46%
2018-07-10,9:36,"2,300.10","2,301.99","2,299.82","2,301.88","2,300.53","2,295.18","2,289.55","2,286.94","2,300.16","2,289.60","2,279.05","5,081,000",77.48%,62.49%,74.94%,75.27%,7.00%,7.70%
2018-07-10,9:33,"2,299.98","2,300.32","2,299.10","2,300.29","2,300.78","2,294.38","2,289.38","2,286.66","2,299.63","2,289.43","2,279.23","4,163,000",54.96%,47.50%,73.37%,75.40%,7.43%,7.87%
