일자,시간,시가,고가,저가,종가,5,20,60,120,BB_상한선,BB_중심선,BB_하한선,거래량,OBV+Slow%K,OBV+Slow%D,RSI,Signal,RSI+MACD,Signal
2018-07-10,15:30,"2,294.19","2,294.33","2,294.10","2,294.16","2,293.77","2,294.80","2,296.25","2,297.12","2,299.08","2,296.29","2,293.50","10,256,000",44.05%,58.35%,38.11%,38.09%,-3.27%,-4.75%
2018-07-10,15:27,"2,294.19","2,294.19","2,294.19","2,294.19","2,293.68","2,294.91","2,296.29","2,297.17","2,299.07","2,296.32","2,293.57",0,88.10%,72.65%,40.02%,38.09%,-3.59%,-5.12%
2018-07-10,15:24,"2,294.19","2,294.19","2,294.19","2,294.19","2,293.42","2,295.08","2,296.32","2,297.21","2,299.06","2,296.35","2,293.65",0,76.20%,57.21%,42.72%,37.32%,-4.15%,-5.51%
2018-07-10,15:21,"2,293.42","2,294.19","2,292.28","2,294.19","2,293.34","2,295.31","2,296.35","2,297.27","2,299.04","2,296.38","2,293.72","3,663,000",52.39%,38.23%,42.08%,35.16%,-5.08%,-5.84%
2018-07-10,15:18,"2,294.21","2,294.87","2,292.13","2,292.13","2,293.20","2,295.58","2,296.38","2,297.34","2,299.00","2,296.41","2,293.83","3,548,000",21.14%,24.06%,26.34%,32.39%,-6.13%,-6.04%
2018-07-10,15:15,"2,293.66","2,294.37","2,292.45","2,293.69","2,293.48","2,295.95","2,296.42","2,297.41","2,298.94","2,296.43","2,293.92","3,318,000",42.27%,26.98%,43.72%,34.81%,-5.78%,-6.01%
2018-07-10,15:12,"2,292.75","2,294.04","2,292.33","2,292.90","2,293.96","2,296.22","2,296.42","2,297.47","2,298.93","2,296.44","2,293.95","4,149,000",8.58%,11.69%,32.10%,31.24%,-7.01%,-6.07%
2018-07-10,15:09,"2,294.52","2,294.52","2,292.36","2,293.79","2,294.64","2,296.53","2,296.44","2,297.53","2,298.87","2,296.46","2,294.05","2,962,000",17.17%,14.80%,31.81%,30.90%,-7.30%,-5.84%
2018-07-10,15:06,"2,294.37","2,294.37","2,292.66","2,293.48","2,295.04","2,296.79","2,296.45","2,297.58","2,298.83","2,296.48","2,294.14","3,181,000",5.00%,12.44%,26.10%,30.53%,-7.53%,-5.47%
2018-07-10,15:03,"2,294.49","2,296.06","2,293.55","2,293.55","2,295.54","2,297.04","2,296.46","2,297.63","2,298.82","2,296.48","2,294.15","3,532,000",10.00%,19.87%,24.37%,32.31%,-7.14%,-4.95%
2018-07-10,15:00,"2,295.35","2,296.55","2,295.22","2,296.08","2,296.12","2,297.28","2,296.47","2,297.67","2,298.82","2,296.48","2,294.14","3,383,000",19.99%,29.75%,32.32%,35.48%,-6.36%,-4.41%
2018-07-10,14:57,"2,296.12","2,296.57","2,294.74","2,296.32","2,296.14","2,297.34","2,296.46","2,297.59","2,298.82","2,296.48","2,294.13","3,203,000",39.98%,39.51%,35.77%,36.75%,-6.08%,-3.92%
2018-07-10,14:54,"2,296.57","2,297.18","2,294.65","2,295.78","2,296.02","2,297.47","2,296.45","2,297.52","2,298.82","2,296.47","2,294.12","2,981,000",27.65%,39.04%,31.81%,37.14%,-5.98%,-3.38%
2018-07-10,14:51,"2,296.42","2,297.29","2,295.74","2,295.97","2,296.04","2,297.55","2,296.45","2,297.46","2,298.82","2,296.47","2,294.11","3,141,000",55.30%,50.43%,33.08%,39.27%,-5.37%,-2.73%
2018-07-10,14:48,"2,296.07","2,296.59","2,295.60","2,296.47","2,296.13","2,297.62","2,296.44","2,297.40","2,298.82","2,296.45","2,294.09","2,515,000",67.55%,45.56%,39.57%,41.74%,-4.64%,-2.07%
2018-07-10,14:45,"2,295.01","2,296.57","2,294.28","2,296.18","2,295.81","2,297.68","2,296.43","2,297.33","2,298.82","2,296.44","2,294.05","3,000,000",35.11%,23.56%,37.96%,42.61%,-4.30%,-1.43%
2018-07-10,14:42,"2,295.55","2,296.15","2,294.28","2,295.71","2,295.87","2,297.70","2,296.40","2,297.25","2,298.85","2,296.41","2,293.98","2,198,000",6.62%,12.01%,41.59%,44.47%,-3.64%,-0.71%
2018-07-10,14:39,"2,296.70","2,296.70","2,294.21","2,295.87","2,296.22","2,297.75","2,296.37","2,297.18","2,298.87","2,296.39","2,293.91","2,519,000",13.23%,17.40%,36.15%,45.63%,-3.12%,0.02%
2018-07-10,14:36,"2,295.55","2,296.44","2,295.07","2,296.44","2,296.80","2,297.83","2,296.36","2,297.09","2,298.87","2,296.40","2,293.92","2,857,000",20.29%,21.57%,45.81%,49.42%,-1.85%,0.81%
2018-07-10,14:33,"2,296.69","2,297.74","2,294.84","2,294.84","2,297.44","2,297.86","2,296.38","2,297.00","2,298.90","2,296.42","2,293.93","2,588,000",8.86%,22.86%,38.30%,50.87%,-1.19%,1.47%
2018-07-10,14:30,"2,297.31","2,297.81","2,296.03","2,296.48","2,298.37","2,297.93","2,296.43","2,296.92","2,298.94","2,296.45","2,293.95","2,892,000",17.72%,36.85%,43.68%,55.89%,0.44%,2.13%
2018-07-10,14:27,"2,298.47","2,299.07","2,296.45","2,297.46","2,298.89","2,297.96","2,296.43","2,296.84","2,298.96","2,296.46","2,293.95","3,525,000",35.45%,55.98%,54.36%,60.78%,1.96%,2.56%
2018-07-10,14:24,"2,298.78","2,299.78","2,297.81","2,298.79","2,299.22","2,297.92","2,296.43","2,296.75","2,298.96","2,296.45","2,293.95","2,155,000",70.89%,76.50%,63.32%,63.34%,2.79%,2.71%
2018-07-10,14:21,"2,299.62","2,299.84","2,297.98","2,299.65","2,299.27","2,297.80","2,296.42","2,296.65","2,298.91","2,296.44","2,293.97","2,556,000",86.33%,82.11%,63.57%,63.35%,2.89%,2.69%
2018-07-10,14:18,"2,299.19","2,299.66","2,298.15","2,299.46","2,299.02","2,297.61","2,296.38","2,296.52","2,298.82","2,296.42","2,294.01","2,282,000",72.66%,77.89%,65.29%,63.26%,2.95%,2.64%
2018-07-10,14:15,"2,299.98","2,300.63","2,298.32","2,299.08","2,298.80","2,297.45","2,296.37","2,296.37","2,298.77","2,296.41","2,294.04","3,543,000",73.66%,83.12%,66.59%,62.45%,2.81%,2.56%
