일자,시간,시가,고가,저가,종가,5,20,60,120,BB_상한선,BB_중심선,BB_하한선,거래량,OBV+Slow%K,OBV+Slow%D,RSI,Signal,RSI+MACD,Signal
2018-07-10,15:30,"2,294.49","2,296.06","2,292.13","2,294.16","2,296.26","2,293.94","2,273.61","2,287.94","2,303.84","2,273.75","2,243.66","34,609,000",13.73%,31.12%,62.36%,64.41%,0.63%,2.09%
2018-07-10,15:00,"2,296.69","2,297.74","2,294.21","2,296.08","2,296.72","2,293.47","2,273.24","2,288.43","2,303.10","2,273.39","2,243.68","28,385,000",27.45%,48.52%,69.57%,65.23%,1.01%,2.46%
2018-07-10,14:30,"2,298.17","2,300.63","2,296.03","2,296.48","2,296.79","2,292.97","2,272.91","2,288.88","2,302.33","2,273.08","2,243.83","27,268,000",54.91%,69.59%,63.82%,63.50%,0.73%,2.82%
2018-07-10,14:00,"2,297.05","2,299.11","2,296.05","2,297.32","2,296.63","2,292.46","2,272.60","2,289.31","2,301.45","2,272.75","2,244.05","17,811,000",93.14%,84.27%,60.37%,63.37%,0.96%,3.34%
2018-07-10,13:30,"2,295.29","2,297.60","2,294.82","2,297.26","2,296.55","2,291.26","2,272.30","2,289.74","2,300.56","2,272.42","2,244.29","14,911,000",86.29%,75.39%,60.76%,64.57%,1.59%,3.93%
2018-07-10,13:00,"2,295.92","2,297.90","2,294.60","2,296.45","2,296.31","2,289.88","2,271.99","2,290.16","2,299.62","2,272.05","2,244.49","10,855,000",72.57%,64.49%,62.13%,66.09%,2.33%,4.52%
2018-07-10,12:30,"2,294.96","2,297.30","2,292.65","2,296.45","2,297.25","2,288.85","2,271.59","2,290.60","2,298.67","2,271.69","2,244.71","10,296,000",61.24%,56.41%,65.17%,67.67%,3.10%,5.06%
2018-07-10,12:00,"2,297.64","2,298.20","2,293.04","2,295.67","2,298.21","2,287.67","2,271.23","2,291.02","2,297.74","2,271.33","2,244.93","13,836,000",38.57%,51.58%,62.32%,68.67%,3.73%,5.56%
2018-07-10,11:30,"2,296.14","2,299.18","2,294.17","2,296.90","2,299.11","2,286.66","2,270.82","2,291.48","2,296.65","2,270.84","2,245.03","21,999,000",58.85%,64.60%,64.21%,71.21%,4.76%,6.01%
2018-07-10,11:00,"2,300.75","2,302.00","2,293.49","2,296.07","2,296.89","2,285.46","2,270.18","2,291.99","2,295.46","2,270.18","2,244.90","21,465,000",68.41%,70.35%,72.89%,74.01%,5.83%,6.33%
2018-07-10,10:30,"2,301.29","2,305.84","2,299.23","2,301.17","2,295.09","2,283.56","2,269.55","2,292.47","2,294.13","2,269.57","2,245.00","23,172,000",79.43%,72.28%,82.64%,74.46%,6.21%,6.45%
2018-07-10,10:00,"2,299.98","2,304.01","2,299.10","2,301.23","2,291.78","2,281.55","2,268.95","2,292.88","2,292.32","2,268.95","2,245.57","40,817,000",80.98%,65.14%,73.38%,71.19%,5.62%,6.51%
2018-07-10,9:30,"2,299.09","2,303.89","2,298.34","2,300.18","2,289.07","2,279.21","2,268.36","2,293.35","2,290.46","2,268.36","2,246.25","63,939,000",61.96%,49.29%,74.28%,70.32%,5.73%,6.73%
2018-07-09,15:30,"2,286.69","2,288.95","2,284.51","2,285.80","2,287.11","2,276.92","2,267.88","2,293.79","2,288.72","2,267.91","2,247.10","34,143,000",23.92%,36.62%,61.63%,68.73%,5.70%,6.98%
2018-07-09,15:00,"2,284.14","2,287.81","2,281.75","2,287.06","2,287.93","2,275.21","2,267.77","2,294.32","2,288.28","2,267.78","2,247.27","25,974,000",47.85%,49.32%,65.43%,71.57%,6.86%,7.30%
2018-07-09,14:30,"2,286.43","2,286.88","2,281.25","2,284.65","2,288.10","2,273.40","2,267.59","2,294.82","2,287.78","2,267.61","2,247.45","21,396,000",35.08%,50.79%,72.82%,74.03%,7.85%,7.41%
2018-07-09,14:00,"2,290.10","2,291.03","2,286.07","2,287.68","2,288.14","2,272.17","2,267.50","2,295.35","2,287.43","2,267.50","2,247.58","21,457,000",70.16%,66.49%,73.03%,74.51%,8.26%,7.30%
2018-07-09,13:30,"2,290.31","2,291.98","2,287.74","2,290.34","2,287.82","2,270.85","2,267.21","2,295.78","2,286.55","2,267.21","2,247.87","15,909,000",77.75%,62.82%,79.07%,75.11%,8.63%,7.06%
2018-07-09,13:00,"2,288.22","2,294.61","2,287.84","2,289.94","2,287.00","2,269.58","2,266.92","2,296.18","2,285.76","2,267.00","2,248.25","23,783,000",55.50%,47.89%,78.71%,73.52%,8.36%,6.67%
2018-07-09,12:30,"2,286.08","2,288.68","2,285.40","2,287.90","2,283.67","2,268.03","2,266.62","2,296.51","2,284.73","2,266.73","2,248.73","17,634,000",31.55%,40.27%,79.00%,71.45%,7.94%,6.25%
2018-07-09,12:00,"2,286.80","2,287.01","2,283.32","2,284.83","2,280.02","2,266.51","2,266.45","2,296.92","2,284.22","2,266.61","2,248.99","19,619,000",29.28%,48.99%,78.14%,68.42%,7.25%,5.83%
